Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,Jan_B2,0,0,0.15,0.12,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.27
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Jan_IB,0,0,0,0,0.15,0.12,0,0,0,0,0
d__Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NB1-j,Jan_B2,0,0,0.12,0.14,0,0,0,0,0,0,0
d__Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Sept_B2,0,0,0,0,0,0,0,0,0.13,0.14,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Genus of Xanthobacteraceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.26
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Amb-16S-1323,Amb-16S-1323,Jan_IB,0,0,0,0,0.14,0.12,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Sept_B2,0,0,0,0,0,0,0,0,0.09,0.17,0
d__Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085,Sept_B1,0,0,0,0,0,0,0.16,0.1,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,Jan_B2,0,0,0.12,0.14,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Genus of Nitrosomonadaceae,Jan_IB,0,0,0,0,0.13,0.13,0,0,0,0,0
d__Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NB1-j,Jan_B1,0.12,0.14,0,0,0,0,0,0,0,0,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Sept_B2,0,0,0,0,0,0,0,0,0.14,0.12,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Jan_B1,0.1,0.15,0,0,0,0,0,0,0,0,0
d__Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Genus of Gemmatimonadaceae,Jan_B2,0,0,0.11,0.14,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Ovatusbacter,Jan_B1,0.12,0.13,0,0,0,0,0,0,0,0,0
d__Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Sept_B1,0,0,0,0,0,0,0.1,0.16,0,0,0
